Title;Issn;SJR
Canadian Journal of Ophthalmology;00084182, 17153360;535
Educational Action Research;17475074, 09650792;535
European Journal on Criminal Policy and Research;9281371;535
Group Dynamics;10892699, 19307802;535
International Journal of Toxicology;10915818, 1092874X;535
Journal of Research in Medical Sciences;17357136, 17351995;535
Prehospital and Disaster Medicine;1049023X, 19451938;535
Proceedings - International Symposium on Wearable Computers, ISWC;15504816;535
Psychosis;17522439, 17522447;535
Scandinavian Journal of Clinical and Laboratory Investigation;00365513, 15027686;535
Space and Polity;14701235, 13562576;535
Translational Animal Science;25732102;535
Analytical Cellular Pathology;22107185, 22107177;534
BMJ Innovations;2055642X, 20558074;534
Bosnian Journal of Basic Medical Sciences;18404812, 15128601;534
Canadian Pharmacists Journal;17151635;534
Clinical Medicine Insights: Blood Disorders;1179545X;534
Computational Intelligence and Neuroscience;16875273, 16875265;534
Italian Journal of Animal Science;15944077;534
JDR Clinical and Translational Research;23800844, 23800852;534
Journal of Co-operative Organization and Management;2213297X;534
Journal of Family and Economic Issues;15733475, 10580476;534
Journal of Formalized Reasoning;19725787;534
Journal of General and Applied Microbiology;13498037, 00221260;534
Journal of International and Intercultural Communication;17513065, 17513057;534
Psychogeriatrics;14798301, 13463500;534
Technology, Knowledge and Learning;22111662, 22111670;534
Acta Cytologica;00015547, 19382650;533
Asia and the Pacific Policy Studies;20502680;533
Behavioral Interventions;10720847, 1099078X;533
European Cytokine Network;11485493, 19524005;533
Geobios;00166995, 17775728;533
IET Biometrics;20474938, 20474946;533
International Journal of Information Technology and Decision Making;2196220;533
Journal of Forest Economics;11046899, 16181530;533
Journal of Transportation Safety and Security;19439970, 19439962;533
L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale;-;533
Research in Pharmaceutical Sciences;17355362, 17359414;533
World Wide Web;15731413, 1386145X;533
Zeitschrift fur Erziehungswissenschaft;18625215, 1434663X;533
Advances in Meteorology;16879317, 16879309;532
Africa;00019720, 17500184;532
DARU, Journal of Pharmaceutical Sciences;15608115, 20082231;532
Flora: Morphology, Distribution, Functional Ecology of Plants;3672530;532
International Journal of Metalcasting;19395981;532
Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME;220434;532
Journal of Economic Methodology;14699427, 1350178X;532
Journal of Health Organization and Management;14777266;532
Journal of Internet Commerce;1533287X, 15332861;532
Journal of Seismology;1573157X, 13834649;532
Journal of Veterinary Science;1229845X, 1976555X;532
Journal on Mathematics Education;24070610, 20878885;532
Nature Conservation;13143301, 13146947;532
Physiological and Molecular Plant Pathology;10961178, 08855765;532
Raffles Bulletin of Zoology;2172445;532
Swiss Medical Weekly;14247860, 14243997;532
Symmetry, Integrability and Geometry: Methods and Applications (SIGMA);18150659;532
Systematic Botany;15482324, 03636445;532
2017 Hands-Free Speech Communications and Microphone Arrays, HSCMA 2017 - Proceedings;-;531
Adsorption;15728757, 09295607;531
Advances in Pharmacological Sciences;16876342, 16876334;531
Chinese Journal of Mechanical Engineering (English Edition);21928258, 10009345;531
Colloids and Interface Science Communications;22150382;531
Communications in Mathematics and Statistics;21946701, 2194671X;531
Communications in Statistics - Theory and Methods;1532415X, 03610926;531
Cytotechnology;09209069, 15730778;531
Geografiska Annaler, Series A: Physical Geography;04353676, 14680459;531
IEEE Multimedia;1070986X;531
Journal of Media Business Studies;16522354;531
Journal of Muscle Research and Cell Motility;15732657, 01424319;531
Journal of Sports Medicine and Physical Fitness;18271928, 00224707;531
Journal of Urban Ecology;20585543;531
Journal of Vocational Rehabilitation;10522263, 18786316;531
Micromachines;2072666X;531
Pharmacy Practice;1885642X, 18863655;531
Revista da Sociedade Brasileira de Medicina Tropical;00378682, 16789849;531
Biointerphases;15594106, 19348630;530
Gynecological Endocrinology;09513590, 14730766;530
Isotopes in Environmental and Health Studies;10256016, 14772639;530
Journal of Functional Programming;14697653, 09567968;530
Journal of International Advanced Otology;13087649;530
Journal of International and Comparative Social Policy;21699763, 2169978X;530
Journal of Student Affairs Research and Practice;19496605;530
Physica Scripta;318949;530
Proceedings - 2016 5th IEEE International Conference on Cloud Networking, CloudNet 2016;-;530
Public Administration and Development;02712075, 1099162X;530
Theoretical Issues in Ergonomics Science;1464536X, 1463922X;530
Therapeutic Delivery;20415990, 20416008;530
ACM Transactions on Accessible Computing;19367228;529
British Journal of Oral and Maxillofacial Surgery;15321940, 02664356;529
Bulletin of the Geological Society of Malaysia;1266187;529
Chemical Physics Letters;92614;529
English Teaching;11758708;529
GeoResJ;22142428;529
Journal of Agromedicine;1059924X, 15450813;529
Journal of Phase Equilibria and Diffusion;18637345, 15477037;529
New Zealand Journal of Marine and Freshwater Research;00288330, 11758805;529
Safety and Health at Work;20937997, 20937911;529
Social Work Education;14701227, 02615479;529
Sport Mont;14517485, 23370351;529
Amphibia - Reptilia;01735373, 15685381;528
Australian Journal of Civil Engineering;14488353;528
Biochemia Medica;13300962;528
Brazilian Journal of Otorhinolaryngology;18088694, 18088686;528
Environmental Pollutants and Bioavailability;26395940, 26395932;528
European Journal of Applied Mathematics;14694425, 09567925;528
International Journal of Energy and Environmental Engineering;20089163, 22516832;528
International Journal of Social Welfare;14682397, 13696866;528
Journal of Applied Statistics;02664763, 13600532;528
Logica Universalis;16618300, 16618297;528
Memoirs of Museum Victoria;14472554, 14472546;528
Microfluidics and Nanofluidics;16134982, 16134990;528
OTJR Occupation, Participation and Health;15394492;528
Revista Complutense de Educacion;11302496, 19882793;528
Timing and Time Perception;2213445X, 22134468;528
Afrika Spectrum;20397;527
Applied Research in Quality of Life;18712584, 18712576;527
Australian and New Zealand Journal of Criminology;00048658, 18379273;527
Entropy;10994300;527
Frontiers of Mechanical Engineering;20950233, 20950241;527
Human and Experimental Toxicology;9603271;527
International Journal of Astrobiology;14735504;527
Journal of Cardiac Surgery;08860440, 15408191;527
Journal of Energetic Materials;7370652;527
Journal of Geography;17526868, 00221341;527
Journal of Musculoskeletal Neuronal Interactions;11087161;527
Journal of Nonlinear Science and Applications;20081898, 20081901;527
Journal of Pressure Vessel Technology, Transactions of the ASME;00949930, 15288978;527
Journal of Zhejiang University: Science B;16731581;527
New Educator;15499243;527
Nutrition Research and Practice;19761457, 20056168;527
Physica Status Solidi (A) Applications and Materials Science;18626300, 18626319;527
Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW;-;527
Records Management Journal;9565698;527
Urban Research and Practice;17535069, 17535077;527
Zoological Studies;10215506;527
Computer Science Education;17445175, 08993408;526
Eurasian Soil Science;10642293, 1556195X;526
Geologica Acta;16965728, 16956133;526
Neotropical Biodiversity;23766808;526
Quantum Electronics;10637818, 14684799;526
Statistics and Public Policy;2330443X;526
Technology in Cancer Research and Treatment;15330338, 15330346;526
Turkish Journal of Earth Sciences;1303619X, 13000985;526
Clinical and Experimental Dermatology;03076938, 13652230;525
Dianli Zidonghua Shebei / Electric Power Automation Equipment;10066047;525
Italian Journal of Pediatrics;18247288, 17208424;525
Journal of Insects as Food and Feed;23524588;525
Journal of Laser Applications;1042346X;525
Journal of Parallel and Distributed Computing;07437315, 10960848;525
Materials Discovery;23529245;525
Metal ions in life sciences;20419821, 15590836;525
Phytocoenologia;0340269X;525
Psychiatrist;17583209, 17583217;525
Violence and Victims;8866708;525
Adapted Physical Activity Quarterly;15432777, 07365829;524
Anaesthesiology Intensive Therapy;16425758, 17312531;524
Aquatic Biology;18647790, 18647782;524
Archive for Mathematical Logic;14320665, 09335846;524
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization;21681163, 21681171;524
Coronary Artery Disease;09546928, 14735830;524
Critical Review;8913811;524
Emission Control Science and Technology;21993629, 21993637;524
Handbook of Environmental Economics;15740099;524
IForest;19717458;524
Journal of surgical orthopaedic advances;1548825X;524
Journal of Veterinary Medical Science;13477439, 09167250;524
Language Awareness;9658416;524
Latin American Research Review;00238791, 15424278;524
Politics and Religion;17550483;524
SIGMETRICS/ Performance 2016 - Proceedings of the SIGMETRICS/Performance Joint International Conference on Measurement and Modeling of Computer Science;-;524
2016 IEEE International Conference on Sensing, Communication and Networking, SECON Workshops 2016;-;523
American Journal of Physiology - Advances in Physiology Education;10434046, 15221229;523
Atoll Research Bulletin;775630;523
Australian Journal of Indigenous Education;13260111, 20497784;523
Cardiovascular Revascularization Medicine;15538389;523
Clinical Hemorheology and Microcirculation;13860291;523
Clinical Medicine and Research;15394182, 15546179;523
Couple and Family Psychology: Research and Practice;21604096, 2160410X;523
Ethos;00912131, 15481352;523
Hormones;11093099, 25208721;523
Journal of Access Services;15367967, 15367975;523
Journal of Agricultural & Applied Economics;10740708;523
Journal of Agricultural Science;00218596, 14695146;523
Journal of investigative and clinical dentistry;20411626, 20411618;523
Progress in Medicinal Chemistry;00796468, 18757863;523
Toxicology Research;2045452X, 20454538;523
Trauma Surgery and Acute Care Open;23975776;523
Acta Mathematica Scientia;2529602;522
Archiv fur Molluskenkunde;39284;522
Canadian Mathematical Bulletin;14964287, 00084395;522
Environmental Fluid Mechanics;15677419, 15731510;522
European Journal of Spatial Development;16509544;522
Journal of Advanced Ceramics;22278508, 22264108;522
Journal of Cancer Epidemiology;16878566, 16878558;522
Journal of Midwifery and Women's Health;15269523;522
Proceedings of the International Symposium on Low Power Electronics and Design;15334678;522
Proceedings of the Workshop on Algorithm Engineering and Experiments;21640300;522
Social Semiotics;10350330, 14701219;522
Toxicon;18793150, 00410101;522
Archaeological Prospection;10990763, 10752196;521
Atomization and Sprays;19362684, 10445110;521
Computational Linguistics;08912017, 15309312;521
Contemporary Italian Politics;23248823, 23248831;521
Drug Development and Industrial Pharmacy;03639045, 15205762;521
ECS Journal of Solid State Science and Technology;21628777, 21628769;521
Electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine;16503414;521
Fire and Materials;03080501, 10991018;521
Health Information and Libraries Journal;14711842, 14711834;521
Journal of Social Entrepreneurship;19420684, 19420676;521
Journal of the Intensive Care Society;17511437;521
Nano Communication Networks;18787789;521
Photogrammetric Engineering and Remote Sensing;991112;521
Research in Education;345237;521
Tourism Planning and Development;21568324, 21568316;521
Visceral Medicine;22974725, 2297475X;521
Women and Health;03630242, 15410331;521
Accounting Education;14684489, 09639284;520
Ameghiniana;18518044, 00027014;520
Annals of Global Health;22149996;520
China Journal of Accounting Research;17553091;520
Clinical and Experimental Hypertension;15256006, 10641963;520
Current Breast Cancer Reports;19434588, 19434596;520
European Journal of Radiology Open;23520477;520
European Physical Journal H;21026467, 21026459;520
Gender and Development;13552074, 13649221;520
Gene Expression Patterns;1567133X, 18727298;520
HSCC 2017 - Proceedings of the 20th International Conference on Hybrid Systems: Computation and Control (part of CPS Week);-;520
International Journal of Food Science;23567015, 23145765;520
International Journal of Human-Computer Interaction;15327590, 10447318;520
Journal of Early Childhood Teacher Education;17455642, 10901027;520
Journal of Nonlinear Functional Analysis;2052532X;520
Journal of the History of Economic Thought;14699656, 10538372;520
Proceedings of the IEEE Real-Time and Embedded Technology and Applications Symposium, RTAS;15453421;520
Resource Geology;17513928, 13441698;520
Twentieth Century British History;09552359, 14774674;520
Vitis - Journal of Grapevine Research;427500;520
World Mycotoxin Journal;18750710, 18750796;520
Advanced Steel Construction;1816112X;519
Arab Journal of Urology;2090598X, 20905998;519
Critical Care Research and Practice;20901305, 20901313;519
CYTA - Journal of Food;19476345, 19476337;519
Insights: the UKSG Journal;20487754;519
Journal of Public Health Policy;01975897, 1745655X;519
Knowledge and Management of Aquatic Ecosystems;19619502;519
Obstetrics and Gynecology Science;22878580, 22878572;519
The Primary Care Companion for CNS Disorders;21557780;519
Therapeutic hypothermia and temperature management;21537933, 21537658;519
CPS-SPC 2016 - Proceedings of the 2nd ACM Workshop on Cyber-Physical Systems Security and PrivaCy, co-located with CCS 2016;-;518
IACR Transactions on Symmetric Cryptology;2519173X;518
International Journal of Environmental Science and Technology;17351472;518
International Journal of Mass Spectrometry;13873806;518
Journal of Family Business Management;20436238, 20436246;518
Journal of Psycholinguistic Research;15736555, 00906905;518
Journal of Reproduction and Infertility;22285482, 2251676X;518
Plant Biosystems;17245575, 11263504;518
Plant Biotechnology;13476114, 13424580;518
Proceedings - International Conference on Software Engineering;2705257;518
Psychoanalysis, Self and Context;24720038, 24720046;518
World Journal of Pediatrics;17088569, 18670687;518
2015 IEEE/ACM International Conference on Computer-Aided Design, ICCAD 2015;-;517
Advances in Oceanography and Limnology;1947573X, 19475721;517
Ardea;3732266;517
Biologicals;10958320, 10451056;517
BMC Clinical Pathology;14726890;517
Brazilian Journal of Biology;15196984, 16784375;517
Dental Press Journal of Orthodontics;21776709, 21769451;517
Ecological Management and Restoration;14427001, 14428903;517
Eurasip Journal on Information Security;2510523X, 16874161;517
European Journal of Drug Metabolism and Pharmacokinetics;21070180, 03787966;517
Frontiers in Energy;20951698, 20951701;517
Genomics Data;22135960;517
Harvard International Law Journal;178063;517
IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology;24697249;517
Journal of Anesthesia;14388359, 09138668;517
Linguistic Typology;14300532, 1613415X;517
Machine Vision and Applications;14321769, 09328092;517
Oral and Maxillofacial Surgery;18651550, 18651569;517
Research Studies in Music Education;1321103X, 18345530;517
Skeletal Radiology;03642348, 14322161;517
Teaching English with Technology;16421027;517
Vasa - European Journal of Vascular Medicine;16642872, 03011526;517
Advances in Hematology;16879104, 16879112;516
Applied Spatial Analysis and Policy;18744621, 1874463X;516
Chinese Journal of Natural Medicines;16723651;516
Current Treatment Options in Psychiatry;21963061;516
Defence Studies;14702436, 17439698;516
Egyptian Journal of Aquatic Research;16874285, 20903278;516
Food Science and Nutrition;20487177;516
Formal Methods in System Design;15728102, 09259856;516
Genetical Research;00166723, 14695073;516
Health security;23265108, 23265094;516
International Journal of Research and Method in Education;17437288, 1743727X;516
Journal of Combinatorial Optimization;13826905, 15732886;516
Journal of Management Development;2621711;516
Journal of Mental Health Research in Intellectual Disabilities;19315872, 19315864;516
Micropaleontology;262803;516
Procedia Manufacturing;23519789;516
Review of European, Comparative and International Environmental Law;20500386, 20500394;516
BioSystems;03032647, 18728324;515
Bulletin of Environmental Contamination and Toxicology;00074861, 14320800;515
Central European Journal of Energetic Materials;17337178;515
Civil Engineering and Environmental Systems;10286608, 10290249;515
Current Issues in Auditing;19361270;515
Digital Applications in Archaeology and Cultural Heritage;22120548;515
Environment Systems and Decisions;21945411, 21945403;515
Horticulturae;23117524;515
IEEE Microwave Magazine;15273342;515
Infrared Physics and Technology;13504495;515
International Journal of Acarology;1647954;515
International Journal of Sports Science and Coaching;17479541;515
In Vitro Cellular and Developmental Biology - Plant;14752689, 10545476;515
Journal of Intervention and Statebuilding;17502977, 17502985;515
Journal of Mass Spectrometry;10969888, 10765174;515
Journal of Raptor Research;8921016;515
Nursing Open;20541058;515
Ozone: Science and Engineering;01919512, 15476545;515
Reviews on Environmental Health;00487554, 21910308;515
Aerosol Science and Engineering;2510375X, 25103768;514
Ardeola;05707358, 23410825;514
Asian Nursing Research;20937482, 19761317;514
CESifo Economic Studies;1610241X, 16127501;514
Clinical Supervisor, The;07325223, 1545231X;514
Complementary Therapies in Clinical Practice;17443881;514
Contemporary Political Theory;14708914, 14769336;514
Folia Microbiologica;18749356, 00155632;514
INFOR;03155986, 19160615;514
International Journal of Automotive Technology;12299138;514
Iranian Journal of Parasitology;17357020;514
Journal of Genetic Engineering and Biotechnology;20905920, 1687157X;514
Journal of Pediatric Nursing;15328449, 08825963;514
Journal of the Society of Laparoendoscopic Surgeons;19383797, 10868089;514
Proceedings - 2016 IEEE International Conference on Software Maintenance and Evolution, ICSME 2016;-;514
Radiology and Oncology;13182099, 15813207;514
Xenobiotica;00498254, 13665928;514
Advances in Applied Mathematics and Mechanics;20751354, 20700733;513
Chinese Geographical Science;10020063, 1993064X;513
Ethics and International Affairs;8926794;513
Expert Review of Endocrinology and Metabolism;17446651;513
Hague Journal on the Rule of Law;18764053, 18764045;513
In Vitro Cellular and Developmental Biology - Animal;10712690, 1543706X;513
Journal of Electrochemical Energy Conversion and Storage;23816910, 23816872;513
Journal of Food Quality;17454557, 01469428;513
Journal of Micromechanics and Microengineering;13616439, 09601317;513
Nuclear receptor signaling;15507629;513
Oral and Maxillofacial Surgery Clinics of North America;15581365, 10423699;513
Physical and Occupational Therapy in Pediatrics;01942638, 15413144;513
Physics Letters, Section A: General, Atomic and Solid State Physics;3759601;513
Proceedings of the Edinburgh Mathematical Society;14643839, 00130915;513
Theory of Computing Systems;14330490, 14324350;513
Thin Solid Films;406090;513
Transplantation Direct;23738731;513
Advances in Clinical and Experimental Medicine;18995276, 24512680;512
Applied Geophysics;16727975;512
Current Neurovascular Research;15672026;512
Experimental Aging Research;10964657, 0361073X;512
International Journal of Modern Physics A;0217751X, 1793656X;512
Iranian Journal of Fuzzy Systems;17350654;512
Journal of Bryology;17432820, 03736687;512
Journal of Early Childhood Research;1476718X;512
Journal of Molecular Catalysis - B Enzymatic;13811177, 18733158;512
Journal of Nanoparticle Research;13880764, 1572896X;512
Journal of the Marine Biological Association of the United Kingdom;14697769, 00253154;512
Military Psychology;15327876, 08995605;512
Music Therapy Perspectives;07346875, 20537387;512
Psyecology;19899386, 21711976;512
Social Influence;15534529, 15534510;512
Spanish Journal of Marketing - ESIC;24449709, 24449695;512
American Journal of Physics;29505;511
Archives of Insect Biochemistry and Physiology;15206327, 07394462;511
Asian Pacific Journal of Tropical Biomedicine;22211691, 25889222;511
Criminal Behaviour and Mental Health;09579664, 14712857;511
Enterprise Information Systems;17517583, 17517575;511
Expert Review of Precision Medicine and Drug Development;23808993;511
International Journal of Minerals, Metallurgy and Materials;1869103X, 16744799;511
International Journal of Work-Integrated Learning;25381032;511
Journal of Bronchology and Interventional Pulmonology;19446586, 19488270;511
Journal of Renal Care;17556678, 17556686;511
Nuclear Medicine Communications;14735628, 01433636;511
Planning Practice and Research;13600583, 02697459;511
Tel Aviv;03344355, 20404786;511
Urology Journal;17351308, 1735546X;511
American University law review, The;31453;510
Evidence-based Complementary and Alternative Medicine;17414288, 1741427X;510
Greenhouse Gases: Science and Technology;21523878;510
Journal of Applied Analysis and Computation;2156907X, 21585644;510
Management Research Review;20408269;510
Qualitative Theory of Dynamical Systems;16623592, 15755460;510
Strabismus;09273972, 17445132;510
Welding in the World, Le Soudage Dans Le Monde;432288;510
Acta Chiropterologica;15081109;509
Child's Nervous System;02567040, 14330350;509
Chinese Annals of Mathematics. Series B;18606261, 02529599;509
Computational Mathematics and Mathematical Physics;15556662, 09655425;509
Educational Media International;14695790, 09523987;509
Geological Quarterly;16417291;509
Global Journal of Engineering Education;13283154;509
High Blood Pressure and Cardiovascular Prevention;11791985, 11209879;509
Identities;15473384, 1070289X;509
International Journal of Information and Learning Technology;20564899, 20564880;509
International Journal of Law and Psychiatry;18736386, 01602527;509
International Journal of Precision Engineering and Manufacturing;22347593, 12298557, 20054602;509
International Journal of Vascular Medicine;20902824, 20902832;509
Journal of Agricultural and Environmental Ethics;11877863;509
Journal of Child and Adolescent Trauma;19361521, 1936153X;509
Journal of Music Teacher Education;19450079, 10570837;509
Journal of Obstetric Gynecologic and Neonatal Nursing;08842175, 15526909;509
Language Learning Journal;9571736;509
Postepy Dermatologii I Alergologii;1642395X;509
Powder Metallurgy;17432901, 00325899;509
Surgical Innovation;15533514, 15533506;509
Survey Review;17522706, 00396265;509
Turkish Studies;14683849;509
Urban Forum;10153802;509
2016 15th ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2016 - Proceedings;-;508
American Journal of Veterinary Research;19435681, 00029645;508
Applied Organometallic Chemistry;02682605, 10990739;508
Asia Pacific Journal of Marketing and Logistics;13555855, 17584248;508
Canadian Journal of Emergency Medicine;14818035;508
Europe's Journal of Psychology;18410413;508
Experimental and Therapeutic Medicine;17921015, 17920981;508
Global Pediatric Health;2333794X;508
Gynecologic Oncology Reports;23525789;508
International Journal of Numerical Methods for Heat and Fluid Flow;9615539;508
Iranian Journal of Basic Medical Sciences;20083874, 20083866;508
Journal of Atmospheric Chemistry;15730662, 01677764;508
Journal of Multi-Criteria Decision Analysis;10579214, 10991360;508
Nordic Journal of Botany;0107055X, 17561051;508
Proceedings of the ACM on Human-Computer Interaction;25730142;508
Revista Brasileira de Parasitologia Veterinaria;0103846X;508
Revista Brasileira de Terapia Intensiva;19824335, 0103507X;508
Amphibian and Reptile Conservation;1083446X, 15259153;507
Andrologia;14390271, 03034569;507
Behaviour Change;20497768, 08134839;507
Complexity;10762787, 10990526;507
Comptes Rendus Chimie;18781543, 16310748;507
Doga, Turkish Journal of Botany;1300008X, 13036106;507
Dolomites Research Notes on Approximation;20356803;507
Family Medicine;07423225, 19383800;507
Far Eastern Entomologist;1026051X;507
Foot and Ankle Specialist;19387636, 19386400;507
HPB Surgery;08948569, 16078462;507
Indian Journal of Medical Research;09715916, 09759174;507
Journal of Aesthetics and Art Criticism;15406245, 00218529;507
Journal of Preventive Medicine and Hygiene;11212233;507
Journal of Regulatory Economics;15730468, 0922680X;507
Molecular Genetics and Metabolism Reports;22144269;507
Polar Science;18739652;507
Proceedings of the 16th Conference on Formal Methods in Computer-Aided Design, FMCAD 2016;-;507
Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology;2041305X, 13506501;507
Proceedings of the International Symposium on Superalloys;-;507
Propulsion and Power Research;2212540X;507
Psychological science in the public interest : a journal of the American Psychological Society;21600031;507
Sociological Quarterly;00380253, 15338525;507
Stochastics and Dynamics;2194937;507
Affilia - Journal of Women and Social Work;15523020, 08861099;506
Biocatalysis and Agricultural Biotechnology;18788181;506
Canadian Journal of Occupational Therapy;00084174, 19119828;506
Canadian Journal on Aging;07149808, 17101107;506
Current Psychology;19364733, 10461310;506
Episodes;7053797;506
Geochemical Perspectives;22237755, 22242759;506
Integrated Ocean Drilling Program: Preliminary Reports;19329423;506
International Journal of Fertility and Sterility;2008076X, 20080778;506
International Journal of Preventive Medicine;20088213, 20087802;506
Jahrbuch fur Regional Wissenschaft;01737600, 16139836;506
Journal of Organometallic Chemistry;0022328X;506
Journal of Plastic Surgery and Hand Surgery;20006764, 2000656X;506
Journal of the Canadian Academy of Child and Adolescent Psychiatry;17198429;506
Latin American Antiquity;10456635;506
Mediterranean Journal of Hematology and Infectious Diseases;20353006;506
Movement Disorders Clinical Practice;23301619;506
Pediatric Dermatology;15251470, 07368046;506
PEPM 2016 - Proceedings of the 2016 ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation, co-located with POPL 2016;-;506
Problems of Information Transmission;00329460, 16083253;506
Proceedings - 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2016;-;506
Sexual and Reproductive Healthcare;18775764, 18775756;506
Supply Chain Forum;16246039, 16258312;506
French Politics;14763427, 14763419;505
Holzforschung;00183830, 1437434X;505
Journal of Cross-Cultural Gerontology;01693816, 15730719;505
Journal of Enterprising Communities;17506204;505
Journal of Management and Organization;18393527, 18333672;505
Journal of Occupational and Environmental Hygiene;15459624, 15459632;505
Network Science;20501250, 20501242;505
Open Microbiology Journal;18742858;505
Politologicky Casopis;12113247;505
Proceedings - Real-Time Systems Symposium;10528725;505
Public Health Ethics;17549973, 17549981;505
SPIN;20103247, 20103255;505
Sport Marketing Quarterly;15572528, 10616934;505
TIS 2016 - Proceedings of the 2016 ACM Workshop on the Theory of Implementation Security, co-located with CCS 2016;-;505
Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of China University of Petroleum (Edition of Natural Science);16735005;505
Annals of Animal Science;23008733, 16423402;504
Brazilian Journal of Probability and Statistics;1030752;504
Corrosion Reviews;3346005;504
Healthcare Policy;17156580, 17156572;504
Horticulture Journal;21890102, 21890110;504
International Journal of Aging and Human Development;00914150, 15413535;504
Journal of African Cultural Studies;13696815;504
Journal of Biomolecular Structure and Dynamics;07391102, 15380254;504
Journal of Membrane Biology;14321424, 00222631;504
Journal of Venomous Animals and Toxins Including Tropical Diseases;16789199;504
Magnetic Resonance in Chemistry;07491581, 1097458X;504
Physica Status Solidi (B): Basic Research;15213951, 03701972;504
Statistical Methods and Applications;16182510, 1613981X;504
Translational Gastroenterology and Hepatology;2224476X, 22244778;504
Tropical Animal Health and Production;15737438, 00494747;504
World Medical and Health Policy;21532028, 19484682;504
Aula Abierta;02102773, 23412313;503
British Poultry Science;00071668, 14661799;503
Contemporary Sociology;19398638, 00943061;503
Evaluation and the Health Professions;15523918, 01632787;503
Forensic Science International: Genetics Supplement Series;1875175X, 18751768;503
IET Science, Measurement and Technology;17518822, 17518830;503
Journal of Human Resources in Hospitality and Tourism;15332845, 15332853;503
Journal of Industrial Engineering and Management;20138423, 20130953;503
Journal of Information Security and Applications;22142126, 22142134;503
Journal of Materials Engineering and Performance;10599495, 15441024;503
Journal of Peace Education;17400201, 1740021X;503
Journal of racial and ethnic health disparities;21968837;503
Journal of the Australian Mathematical Society;14467887;503
PET Clinics;15568598, 18799809;503
WiSec 2016 - Proceedings of the 9th ACM Conference on Security and Privacy in Wireless and Mobile Networks;-;503
Asian Pacific Journal of Cancer Prevention;15137368;502
Behavioral Sciences;2076328X;502
BMC Biochemistry;14712091;502
Bragantia;68705;502
Control Theory and Technology;20956983, 21980942;502
Current Sports Medicine Reports;15378918, 1537890X;502
European Journal of Histochemistry;1121760X, 20388306;502
International Journal of Cultural Studies;13678779;502
International Journal of Nursing Education Scholarship;1548923X;502
International Journal of Nursing Practice;13227114, 1440172X;502
Iowa Law Review;210552;502
Journal of Business Economics;442372;502
Journal of Clinical Psychology in Medical Settings;10689583, 15733572;502
Journal of Orthopaedics;0972978X;502
Journal of the Canadian Urological Association;19116470;502
Journal of Transformative Education;15527840, 15413446;502
Marine Biodiversity;18671616, 18671624;502
Mathematical Biosciences;255564;502
Mentoring and Tutoring: Partnership in Learning;14699745, 13611267;502
Nursing Economics;7461739;502
Paddy and Water Environment;16112490, 16112504;502
Pathogenesis;10245359;502
Persian Journal of Acarology;22518169;502
Romanian Reports in Physics;12211451, 18418759;502
Zoosystematics and Evolution;18600743, 14351935;502
Advances in Oto-Rhino-Laryngology;16622847, 00653071;501
Advances in Polymer Science;653195;501
Carbohydrate Research;00086215, 1873426X;501
Educational Studies;03055698, 14653400;501
Frontiers in Life Science;21553769, 21553777;501
International Criminal Law Review;1567536X;501
Journal of Inverse and Ill-Posed Problems;09280219, 15693945;501
Journal of Lie Theory;9495932;501
Revista Brasileira de Ciencia do Solo;1000683;501
Topics in Magnetic Resonance Imaging;15361004, 08993459;501
Trends in Psychiatry and Psychotherapy;22380019, 22376089;501
Twin Research and Human Genetics;18392628, 18324274;501
Applied Neuropsychology: Child;21622973, 21622965;500
Archives of Environmental Protection;03248461, 20834772, 20834810;500
Arctic;19231245, 00040843;500
Biological Agriculture and Horticulture;01448765, 21650616;500
BMC Hematology;20521839;500
Clinical Nutrition ESPEN;24054577;500
College English;100994;500
Current Problems in Surgery;15356337, 00113840;500
Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences;10002383;500
Husserl Studies;1679848;500
Industrial and Organizational Psychology;17549426, 17549434;500
Journal of Experiential Education;10538259, 2169009X;500
Medical Reference Services Quarterly;02763869, 15409597;500
Mini-Reviews in Medicinal Chemistry;13895575;500
Online Social Networks and Media;24686964;500
Philosophia Mathematica;318019;500
Proceedings - 2016 IEEE Symposium on Security and Privacy Workshops, SPW 2016;-;500
Proceedings of the 10th International Conference on Web and Social Media, ICWSM 2016;-;500
Revista Ciencia Agronomica;00456888, 18066690;500
Solid State Sciences;12932558;500
Adsorption Science and Technology;2636174;499
Annals of Thoracic Medicine;18171737, 19983557;499
EUCNC 2016 - European Conference on Networks and Communications;-;499
Geopolitics, History, and International Relations;23744383, 19489145;499
